facility_name,facility_code,Old Facility Code,admin1,Sub-District,Constituency,facility_type,latitude,longitude,Telephone,Urban or Rural,Always Open,status,Publication Status,Catchment Area,Updated,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
KORAK PHYSIOTHERAPY,111442-0,371,Greater Gaborone,NA,NA,Individual practitioner,-24.64201,25.92074,+267 3181758,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mohaung Medical Centre,32636-3,NA,Serowe,Serowe,SEROWE SOUTH,Individual practitioner,-22.4249246044009,26.753939279907,4600966,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-19T09:55:14Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kgato Paediatrics Clinic,955054-2,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Individual practitioner,-24.6526,25.92876,75874261,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-16T07:21:54Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dermadee Skin Care Centre,557437-1,150,Greater Gaborone,NA,NA,Individual practitioner,-24.6539173,25.9043672,+267 3909655,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ultimate Physiotherapy,699501-3,NA,Kweneng East,Kweneng East,MOLEPOLOLE SOUTH,Individual practitioner,-24.408145,25.513221,3922240,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-07-24T14:35:32Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Motsentshe Health Post,907515-1,23-4-15,Goodhope,Goodhope,GOODHOPE-MABULE,Health Post,-25.385333,25.364388,+267 5410854,Rural,FALSE,OPERATIONAL,PUBLISHED,400,2023-05-08T13:12:49Z,Public,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Satelite Private Medical Clinic,809338-7,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Day care center,-21.169458,27.169458,2406352,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-30T14:04:22Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Hopewell Medical Center,383081-7,NA,Bobirwa,Bobirwa,MMADINARE,Individual practitioner,-22.1815144,27.969637,+26776013208,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2025-06-11T14:13:03Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Avenue Medical Centre,738301-1,46,Greater Gaborone,NA,NA,Group practice,-24.6542232,25.9204589,+267 3911153,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AA Physiotherapy And Rehabilitation,266813-5,NA,Phikwe,Phikwe,SELEBI-PHIKWE EAST,Individual practitioner,-21.975588,27.83734,71723951,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-16T10:11:52Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
24 HOUR EM CLINIC,803293-0,NA,South East,South East,GABORONE SOUTH,Individual practitioner,-24.55882,25.97973,3114171,Urban,TRUE,OPERATIONAL,PUBLISHED,NA,2023-04-26T08:36:04Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FASHION EYE WEAR OPTICIANS,628805-4,256,NA,NA,NA,Group practice,-24.6437,25.9112,+267 2419018,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FLAME LILY PHYSIOTHERAPY,518534-3,260,NA,NA,NA,Individual practitioner,-21.2001838,27.5135526,+267 2421070,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FRANCISTOWN OPTICIANS,890747-9,269,NA,NA,NA,Individual practitioner,-24.6284288,25.9227648,+267 2416717,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MEDICOS PHARMACY,102362-1,445,Greater Gaborone,NA,NA,Individual practitioner,-24.6349824,25.9457024,+267 3184196,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Cedmol Medical Clinical,297631-4,NA,Greater Gaborone,Greater Gaborone,GABORONE NORTH,Individual practitioner,-24.60508,25.90176,3922231,Urban,FALSE,OPERATIONAL,PUBLISHED,1129,2023-05-31T06:05:12Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
KAMLOOPS MEDICAL CENTRE,439437-5,NA,South East,South East,GABORONE SOUTH,Individual practitioner,-21.95672,26.52378,3112601,Rural,FALSE,OPERATIONAL,PUBLISHED,1000,2023-05-31T12:28:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
PALAPYE MEDICAL CENTRE,876071-2,NA,Palapye,Palapye,PALAPYE,Private Hospital,-22.5560481,27.1339824,267 492 4488,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-04-26T06:05:24Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
LEFIKA DETAL CLINIC,694165-2,386,Greater Francistown,Greater Francistown,FRANCISTOWN WEST,Individual practitioner,-21.176929,27.510513,+267 2405077,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-18T18:21:05Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
LUMACARE SURGINNOVATE,814699-5,NA,South East,South East,GABORONE CENTRAL,Individual practitioner,-24.65100632949506,25.9450070045659,73041554,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-06-02T10:34:37Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ANGEL PRIVATE CLINIC,958207-3,37,North East,North East,TATI WEST,Individual practitioner,-20.61979,27.44463,+267 2481164,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-16T07:00:38Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
PHARMALULU WESTGATE,559900-6,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Group practice,-24.6372307,25.8937873,3182767,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-16T11:32:58Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MALL SCAN CENTRE,489451-5,418,South East,NA,NA,Individual practitioner,-24.6284288,25.9227648,+267 71975487,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mashalaba Surgery,280883-0,428,Greater Gaborone,NA,NA,Individual practitioner,-24.6150212,25.9349621,+267 72462376,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BETHESDA MEDICAL CENTRE,42380-6,NA,Palapye,Palapye,PALAPYE,Individual practitioner,-22.551487,27.11471,492 2552,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-26T14:23:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Diagnofirm Medical Laboratories,643159-7,NA,South East,South East,RAMOTSWA,Individual practitioner,-24.8620123,25.8597851,+267 3950007/75698913,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-23T10:30:50Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
L B K PHYSIO CLINIC,544235-5,376,Greater Gaborone,NA,NA,Individual practitioner,-24.6684359,25.9422041,+267 3922040,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
LIFECHARGE PHYSIO & REHAB,554578-5,404,Greater Gaborone,NA,NA,Individual practitioner,-24.569478,25.975019,+267 3113029,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AQUA-SPRAY MEDICAL CENTRE,442567-4,40,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Individual practitioner,-21.200449,27.522058,+267 2408380,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-18T18:32:55Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Kayidala Surgery,898454-4,20323,Greater Gaborone,NA,NA,Individual practitioner,-24.631325,25.917318,+267 3952221,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
LESEDING MEDICAL CENTER,751091-0,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Individual practitioner,-21.168284,27.515549,71677145/73741835,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-19T08:19:25Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
THEBE HEALTHCARE PTY LTD,61832-2,NA,South East,South East,GABORONE CENTRAL,Individual practitioner,-24.62808,25.923147,3182440,Urban,FALSE,OPERATIONAL,PUBLISHED,500,2023-05-31T09:38:41Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
SARAI HOLISTIC CARE,573315-9,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Individual practitioner,-21.168868,27.512845,2420584,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-30T14:06:36Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gaborone Biokinetics,991010-0,20795,South East,NA,NA,Individual practitioner,-24.650695,25.909834,+267 72293330,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MOSIME OPTOMETRISTS,969938-0,NA,Palapye,Palapye,PALAPYE,Group practice,-22.5514,27.11471,4921186,NA,TRUE,OPERATIONAL,PUBLISHED,NA,2023-06-26T13:16:29Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mochudi Pharmacy,525629-2,NA,Kgatleng,Kgatleng,MOCHUDI EAST,Individual practitioner,-24.392995,26.141159,+267 5710777 / 71783411,Rural,FALSE,OPERATIONAL,PUBLISHED,6900,2023-05-10T07:30:58Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Physio Fanatics,26202-2,NA,Greater Gaborone,Greater Gaborone,GABORONE NORTH,Individual practitioner,-24.56415,25.974295,71221237,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-06-11T08:32:41Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AO BROADHURST CLINIC,424792-0,NA,Greater Gaborone,Greater Gaborone,GABORONE NORTH,Individual practitioner,-24.626778,25.936659,3960160,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-06T09:15:08Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ramotswa Pharmacy,463070-3,NA,South East,South East,RAMOTSWA,Individual practitioner,-24.862579,25.85694,+267 5390177/ +267 73458198,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-07-04T08:06:31Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
HUKUNTSI PRIVATE CLINIC,448768-2,NA,Kgalagadi North,Kgalagadi North,KGALAGADI NORTH,Individual practitioner,-23.998261,21.779926,6510101,Rural,FALSE,OPERATIONAL,PUBLISHED,5240,2023-05-02T08:51:12Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
KARIBU MEDICAL CENTRE,692352-8,NA,Boteti,Boteti,BOTETI EAST,Individual practitioner,-21.40949,25.57867,2974540,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-16T09:24:10Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MOUPULE POWER STATION CLINIC,139415-4,NA,Palapye,Palapye,PALAPYE,Private Hospital,-22.52,27.036667,4943427,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-12T08:48:28Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FUN DENTAL CLINIC,640135-0,NA,Jwaneng,Jwaneng,JWANENG-MABUTSANE,Individual practitioner,-24.600936,24.600936,+267 5887777,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-04T13:05:25Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Spring Healthcare,241358-1,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Private Hospital,-21.171129,27.50024,+267 241 6435/ 71378953,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-10-12T13:32:26Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
RABAH PHYSIO,522704-6,633,Greater Gaborone,NA,NA,Individual practitioner,-24.6685987,25.9329042,+267 3939749,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
RELD MED PHARMACY,791970-7,642,NA,NA,NA,Individual practitioner,-21.16363931,27.50946657,+267 2421332,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Storkfort Health,600045-9,NA,Greater Gaborone,Greater Gaborone,GABORONE CENTRAL,Poly Clinic,-24.668499481106068,25.9447532628593,3974578,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-06-01T08:52:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Manwell Dental Surgery,389952-3,NA,Phikwe,Phikwe,SELEBI-PHIKWE WEST,Individual practitioner,-21.975577,27.837395,2600646,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2025-05-26T13:19:31Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
SPARKLE DENTAL CLINIC,262865-9,693,Greater Gaborone,NA,NA,Individual practitioner,-24.629,25.9345,+267 3118896,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
DEAL MART,543125-9,140,Greater Gaborone,NA,NA,Group practice,-24.6641,25.9074,+267 3934990,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ADVENTIST HEALTH SERVICES CLINIC,551055-7,96,Greater Gaborone,NA,NA,Poly Clinic,-24.6502575,25.9117436,+267 3951515,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ramotswa Imaging Centre,332350-8,NA,South East,South East,RAMOTSWA,Individual practitioner,-24.8620123,25.8597851,+267 71962493,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-23T10:27:43Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
MASA MEDICAL CLINIC,746029-8,NA,Palapye,Palapye,PALAPYE,Individual practitioner,-22.551487,27.11471,4922359,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-26T13:16:16Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
My Life Pharmacy,353920-2,NA,Kanye,Kanye,KANYE SOUTH,Individual practitioner,-24.985599,25.342961,5443802,Rural,FALSE,OPERATIONAL,PUBLISHED,1000,2023-05-17T10:52:42Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
DIAGNOFIRM MEDICAL LABORATORIES,394645-6,154,Greater Gaborone,NA,NA,Individual practitioner,-24.6874112,25.8932736,+267 3950007,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dr Khan Surgery,730486-8,183,South East,NA,NA,Individual practitioner,-24.665082,25.9157949,+267 3934011,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
DR L.D MAHLOANE,927877-1,185,Greater Gaborone,NA,NA,Individual practitioner,-24.65792,25.8736128,+267 3906028,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Broadvision Eye Clinic,755274-8,NA,Greater Francistown,Greater Francistown,FRANCISTOWN EAST,Individual practitioner,-21.170069,27.51308,2406540,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-30T14:11:21Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jobet Medical Center,260292-8,NA,Kgatleng,Kgatleng,MOCHUDI EAST,Individual practitioner,-24.394366,26.143586,+267 5777699,Rural,FALSE,OPERATIONAL,PUBLISHED,150,2023-04-27T14:06:34Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jwaneng Medical Centre,777882-2,NA,Jwaneng,Jwaneng,JWANENG-MABUTSANE,Individual practitioner,-24.728477,24.728048,5882070,Urban,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-22T08:33:31Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
TSHIDILONG PHYSIOTHERAPY,793981-2,777,Greater Gaborone,NA,NA,Individual practitioner,-24.6349824,25.9260416,+267 3170404,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
VALUE CHAIN NETWORK,432400-0,799,Greater Gaborone,NA,NA,Individual practitioner,-24.620302,25.9005543,+267 3709528,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
KT HEALTHCARE PRIVATE MEDICAL CLINIC,239175-3,NA,Kgatleng,Kgatleng,MOCHUDI WEST,Individual practitioner,-24.405574,26.119557,+267 5728587 / 73309420,Rural,FALSE,OPERATIONAL,PUBLISHED,5500,2023-05-24T06:49:08Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ngami Physiotherapy Clinic,449436-5,20639,Ngami,NA,NA,Individual practitioner,-19.98683717,23.42477576,+267 72552027,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Espoir Clinic,793861-6,NA,Goodhope,Goodhope,GOODHOPE-MABULE,Individual practitioner,-25.47048,25.44276,5404997,Rural,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-31T10:46:40Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Frida B-D Occupational Therapy Centre,589011-6,20086,Greater Gaborone,NA,NA,Individual practitioner,-24.6693253,25.9315888,+267 3918812,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
JWANENG EYE CARE,201781-2,345,Jwaneng,NA,NA,Individual practitioner,-24.6061585,24.727929,+267 72383858,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2022-03-29T14:11:20Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BUMMHI,80234-8,NA,Kanye,Kanye,KANYE SOUTH,Group practice,-24.975248,25.305646,3186101/71358450,Rural,FALSE,OPERATIONAL,PUBLISHED,Operational at Facilities,2023-05-17T09:38:28Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Physio Back to normal,310096-3,NA,Serowe,Serowe,SEROWE NORTH,Individual practitioner,-22.424924604400957,26.75393927990733,71283511,NA,FALSE,OPERATIONAL,PUBLISHED,NA,2023-05-19T09:57:07Z,Private,Botswana,Botswana Ministry of Health Facilities List 2026,TRUE,NA,NA,BWA-000244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
