ï»¿facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin2,admin1,Telephone,status
ELRAPHAH MEDICAL CENTRE,565992-5,Individual practitioner,PRIVATE,-24.108105,25.030058,Kweneng West,Kweneng,5940111,OPERATIONAL
ENDOCRINE & DIABETS CARES,769114-0,Individual practitioner,PRIVATE,-24.6201588,25.9005448,Greater Gaborone,--,+267 3709534,OPERATIONAL
ERNAD MEDICAL CENTER,141880-5,Individual practitioner,PRIVATE,-25.470828,25.441548,Goodhope,Greater Lobatse,+267 5404999,OPERATIONAL
EU 7  Clinic,961057-7,Clinic,GOVERNMENT,-24.594065,24.747712,Jwaneng,Southern,+267 5881208,OPERATIONAL
EVER DYNAMIC OPTOMETRISTS,955225-8,Individual practitioner,PRIVATE,-24.662002,25.904875,South East,Greater Gaborone,3915600,OPERATIONAL
EXCLUSIVE DENTAL CLINIC,473791-2,Individual practitioner,PRIVATE,-24.6588,25.9162,South East,--,+267 3101011,OPERATIONAL
EYE HEALTH CLINICS,190477-0,Individual practitioner,PRIVATE,-24.6641525,25.9145483,South East,--,+267 3954035,OPERATIONAL
EYELIGHT OPTOMETRIST,735075-4,Individual practitioner,PRIVATE,-24.641536,25.9129344,Kgatleng,--,+267 74526005,OPERATIONAL
East Hanahai Health Post,431261-7,Health Post,GOVERNMENT,-22.164732,21.855527,Ghanzi,Ghanzi,+267 73925268,OPERATIONAL
Ebrahim & Marriam Dada Clinic,595918-4,Clinic,GOVERNMENT,-24.953202,25.302074,Kanye,Southern,+267 5440004,OPERATIONAL
Ecopath Pathology Laboratory,527110-1,Individual practitioner,PRIVATE,-24.56012829,25.97872048,Greater Gaborone,--,+267 3110813,OPERATIONAL
Eden Clinic,18685-8,Individual practitioner,PRIVATE,-24.4314418,26.03330878,Kgatleng,Kgatleng,73930442,OPERATIONAL
Elikya Medical Centre,523937-1,Individual practitioner,PRIVATE,-21.69235,21.64773,Ghanzi,Ghanzi,6596497,OPERATIONAL
Elite Dental Clinic,543463-4,Group practice,PRIVATE,-22.5338645,27.08981752,Palapye,Serowe/Palapye,4924730,OPERATIONAL
Elonga Medical Clinic,865899-9,Individual practitioner,PRIVATE,-21.1619,27.5214,Greater Gaborone,--,+267 4769051,OPERATIONAL
Ent Care (Pty)Ltd,509384-4,Individual practitioner,PRIVATE,-24.34522,25.502103,Kweneng East,--,+267 3694124,OPERATIONAL
Entle Dental Emporium,316066-0,Individual practitioner,PRIVATE,-24.401578,26.081552,Kgatleng,Kgatleng,+267 5729003 / 73624000,OPERATIONAL
Eretsha Health Post,240358-2,Health Post,GOVERNMENT,-18.780458,22.687051,Okavango,Okavango,+267 5643234,OPERATIONAL
Espoir Clinic,793861-6,Individual practitioner,PRIVATE,-25.47048,25.44276,Goodhope,Greater Lobatse,5404997,OPERATIONAL
Etsha 1 Health Post,405411-0,Health Post,GOVERNMENT,-19.184064,22.243242,Okavango,Okavango,26773019660,OPERATIONAL
Etsha 13 Clinic,702688-3,Clinic,GOVERNMENT,-19.014659,22.316398,Okavango,Okavango,+267 6874206/73019701,OPERATIONAL
Etsha 6 Clinic,440231-9,Clinic with Maternity,GOVERNMENT,-19.131854,22.297856,Okavango,Okavango,2676874083,OPERATIONAL
Ewin Medical Services,353994-7,Individual practitioner,PRIVATE,-24.6437,25.9112,Greater Gaborone,--,+267 72215099,OPERATIONAL
Expretions (Pty)Ltd,362008-5,Individual practitioner,PRIVATE,-25.05,25.2833,--,--,+267 5880315,OPERATIONAL
Extension 14 Clinic,809716-4,Clinic,GOVERNMENT,-24.677469,25.907047,Greater Gaborone,Greater Gaborone,+267 3912459,OPERATIONAL
Extension 15  Clinic,256008-4,Clinic,GOVERNMENT,-24.668447,25.940581,Greater Gaborone,Greater Gaborone,3956308/3973670,OPERATIONAL
Extension II  Clinic,671504-9,Clinic,GOVERNMENT,-24.6596296,25.922958,Greater Gaborone,Greater Gaborone,+267 3957891,OPERATIONAL
Extention 3 Clinic ,620832-6,Clinic,GOVERNMENT,-22.532357,27.124239,Palapye,Serowe/Palapye,+267 4923471,OPERATIONAL
Eye Express,769204-9,Individual practitioner,PRIVATE,-24.599571,24.728711,Jwaneng,Southern,5880315,OPERATIONAL
Eye Masters Optician,23363-5,Group practice,PRIVATE,-24.40958,25.4965,Kweneng East,Kweneng,5905003,OPERATIONAL
Eye Sight Clinic,910859-8,Individual practitioner,PRIVATE,-24.8756987,25.8754166,South East,Greater Gaborone,+267 5374009/76761784,OPERATIONAL
EyeSave Optical,928816-8,Poly Clinic,PRIVATE,-24.65092205,25.90989144,Greater Gaborone,--,+267 3909079,OPERATIONAL
Eyesave Optical,610449-1,Poly Clinic,PRIVATE,-24.65018672,25.90977016,Greater Gaborone,--,+267 3909079,OPERATIONAL
F/town Prisons (Sickbay) Clinic,380553-8,Clinic,GOVERNMENT,-21.1547642,27.50455657,Greater Francistown,Greater Francistown,2403294,OPERATIONAL
FAIRGROUND MALL MEDICAL CENTER,455498-6,Individual practitioner,PRIVATE,-24.68254789,25.91107457,Greater Gaborone,Greater Gaborone,3117643,OPERATIONAL
FASHION EYE WEAR OPTICIANS,628805-4,Group practice,PRIVATE,-24.6437,25.9112,--,--,+267 2419018,OPERATIONAL
FIRST CARE PHARMACY,962659-9,Individual practitioner,PRIVATE,-22.54289537,27.08763827,Greater Gaborone,--,+267 4921158,OPERATIONAL
FLAME LILY PHYSIOTHERAPY,518534-3,Individual practitioner,PRIVATE,-21.2001838,27.5135526,--,--,+267 2421070,OPERATIONAL
FRANCISTOWN OPTICIANS,890747-9,Individual practitioner,PRIVATE,-24.6284288,25.9227648,--,--,+267 2416717,OPERATIONAL
FRIENDS PHARMACY,170684-5,Individual practitioner,PRIVATE,-24.6201858,25.8846547,Greater Gaborone,--,+267 3102372,OPERATIONAL
FUN DENT DENTAL CLINIC,974879-9,Individual practitioner,PRIVATE,-24.6008082,24.7283442,--,--,+267 5887777,OPERATIONAL
FUN DENTAL CLINIC,640135-0,Individual practitioner,PRIVATE,-24.600936,24.600936,Jwaneng,Southern,+267 5887777,OPERATIONAL
Family Care Pharmacy,42926-6,Private Hospital,PRIVATE,-21.976069,27.848341,Phikwe,Greater Phikwe,2611042,OPERATIONAL
First Care Pharmacy,602795-7,Individual practitioner,PRIVATE,-21.976631,27.839525,Phikwe,Greater Phikwe,75599210,OPERATIONAL
First Care Pharmacy,105245-5,Individual practitioner,PRIVATE,-22.542937,27.087811,Palapye,Serowe/Palapye,4921158,OPERATIONAL
Fodisa Medical Hub,661310-3,Individual practitioner,PRIVATE,-24.7044,25.8973,Greater Gaborone,Greater Gaborone,3709508,OPERATIONAL
Foley Health Post,507725-0,Health Post,GOVERNMENT,-21.686839,27.364429,Greater Francistown,Greater Francistown,+267 2471165,OPERATIONAL
Fortworth Physiotherapy Clinc,124054-8,Individual practitioner,PRIVATE,-24.8756987,25.8754166,South East,Greater Gaborone,+267 76121892,OPERATIONAL
Fox Eye Opticians,808792-6,Individual practitioner,PRIVATE,-21.17875083,27.51012309,--,--,+267 2408470,OPERATIONAL
Francistown Academic Hospital,528988-9,Private Hospital,PRIVATE,-21.2346019,27.49348,Greater Francistown,Greater Francistown,2672409076,OPERATIONAL
Francistown Clinic,581549-3,Individual practitioner,PRIVATE,-21.1637897,27.5094116,Greater Francistown,Greater Francistown,2418458,OPERATIONAL
Francistown Radiological Services,210128-5,Individual practitioner,PRIVATE,-21.168301,27.511051,Greater Francistown,Greater Francistown,2416126,OPERATIONAL
Frida B-D Occupational Therapy Centre,589011-6,Individual practitioner,PRIVATE,-24.6693253,25.9315888,Greater Gaborone,--,+267 3918812,OPERATIONAL
GABANE PHARMACY,132027-4,Individual practitioner,PRIVATE,-24.6284288,25.9227648,Kweneng East,--,+267 3113589,OPERATIONAL
GABORONE CHILDRENS CARE CLINIC,415557-8,Individual practitioner,PRIVATE,-24.6382592,25.8736128,Greater Gaborone,Greater Gaborone,+267 3972955,OPERATIONAL
GHANZI PHARMACY,713867-0,Individual practitioner,PRIVATE,-21.695387,21.652712,Ghanzi,Ghanzi,6596120,OPERATIONAL
GM CLINIC,490773-9,Individual practitioner,PRIVATE,-24.6382592,25.9129344,Kweneng East,--,+267 74176819,OPERATIONAL
Gabane  Clinic ,517668-0,Clinic,GOVERNMENT,-24.6782643,25.7829816,Kweneng East,Greater Gaborone,+267 3960122,OPERATIONAL
Gabane Health Post,261525-0,Health Post,GOVERNMENT,-24.66406,25.78357,Kweneng East,Greater Gaborone,+267 3947676,OPERATIONAL
Gaborone Biokinetics,991010-0,Individual practitioner,PRIVATE,-24.650695,25.909834,South East,--,+267 72293330,OPERATIONAL
Gaborone Central Clinic,198876-5,Clinic,GOVERNMENT,-24.64201,25.93644,Greater Gaborone,Greater Gaborone,3905792,OPERATIONAL
Gaborone Fertility Clinic,270096-1,Individual practitioner,PRIVATE,-24.641932,25.92084,Greater Gaborone,Greater Gaborone,3913095,OPERATIONAL
Gaborone Private Hospital,873208-3,Private Hospital,PRIVATE,-24.6287148,25.9337927,Greater Gaborone,Greater Gaborone,3685700/3685766,OPERATIONAL
Gaborone West Clinic,643270-2,Clinic with Maternity,GOVERNMENT,-24.6607,25.8876,Greater Gaborone,Greater Gaborone,3923335/3918040/3923896,OPERATIONAL
Gabriel Clinic,374364-8,Private Hospital,PRIVATE,-21.169796,27.514545,Greater Francistown,Greater Francistown,2420019/74052072,OPERATIONAL
Gakgatla Health Post,116397-1,Health Post,GOVERNMENT,-24.54391,25.615649,Kweneng East,Kweneng,5905527,OPERATIONAL
Gakhibane Health Post,936040-5,Health Post,GOVERNMENT,-26.712873,21.768454,Kgalagadi south,Kgalagadi South,+267 6511117,OPERATIONAL
Gakuto Health Post,139849-4,Health Post,GOVERNMENT,-24.471308,25.787948,Kweneng East,Kweneng,+267 5960284,OPERATIONAL
Gambule Health Post,704753-3,Health Post,GOVERNMENT,-20.562717,27.394086,North East,North East,+267 2489240,OPERATIONAL
Gamodubu Health Post,826832-8,Health Post,GOVERNMENT,-24.507678,25.703212,Kweneng East,Kweneng,+267 3960566,OPERATIONAL
Gantsi Clinic,390050-3,Clinic,GOVERNMENT,-21.704153,21.643279,Ghanzi,Ghanzi,6596131/73612439,OPERATIONAL
Gantsi Primary Hospital,998774-4,Primary Hospital,GOVERNMENT,-21.70966,21.631743,Ghanzi,Ghanzi,65963333/4,OPERATIONAL
Gantsi Senior School Clinic,154674-6,Clinic,GOVERNMENT,-21.68176226,21.65083291,Ghanzi,Ghanzi,6595333,OPERATIONAL
Gasita Clinic,292794-5,Clinic with Maternity,GOVERNMENT,-25.105312,24.876335,Kanye,Southern,+267 5410022,OPERATIONAL
Gathwane Health Post,765941-0,Health Post,GOVERNMENT,-25.38968,25.502582,Goodhope,Greater Lobatse,+267 5410252,OPERATIONAL
Ghani Health Post,249838-4,Health Post,GOVERNMENT,-18.401504,21.573729,Okavango,Okavango,73019687,OPERATIONAL
Gilgal Dental Clinic,75995-1,Individual practitioner,PRIVATE,-22.42,26.743,Serowe,Serowe/Palapye,4620404,OPERATIONAL
Glen Valley Clinic,34897-9,Clinic,GOVERNMENT,-24.589429,25.959514,Greater Gaborone,Greater Gaborone,3666640,OPERATIONAL
Gobojango Health Post,866139-9,Health Post,GOVERNMENT,-21.83066,28.727489,Bobirwa,Greater Phikwe,+267 2645542,OPERATIONAL
Gojwane Health Post,703653-6,Health Post,GOVERNMENT,-21.786062,27.280169,Greater Francistown,Greater Francistown,2470703,OPERATIONAL
Goodhope Clinic,245426-2,Clinic,GOVERNMENT,-25.4681407,25.4074823,Goodhope,Greater Lobatse,+267 5404613,OPERATIONAL
Goodhope Primary Hospital,320845-1,Primary Hospital,GOVERNMENT,-25.470463,25.444703,Goodhope,Greater Lobatse,+267 5404333,OPERATIONAL
Goosekgweng Health Post,473400-0,Clinic,GOVERNMENT,-22.726082,27.391229,Palapye,Serowe/Palapye,+267 4918440,OPERATIONAL
Gootau Health Post,123758-5,Clinic,GOVERNMENT,-22.726352,27.423862,Palapye,Serowe/Palapye,+267 4970007,OPERATIONAL
Gopong Health Post,297614-0,Health Post,GOVERNMENT,-25.306615,25.573537,Mabutsane,Greater Lobatse,+267 5350135,OPERATIONAL
Goshwe Health Post,686152-0,Health Post,GOVERNMENT,-20.508381,27.198227,Tutume,Tutume,+267 2470068,OPERATIONAL
Grootlagte Health Post,820551-0,Health Post,GOVERNMENT,-21.360041,21.213339,Ghanzi,Ghanzi,+267 73229909,OPERATIONAL
Gudigwa Health Post,634422-0,Health Post,GOVERNMENT,-18.601867,22.912098,Okavango,Okavango,267 73019666,OPERATIONAL
Gulubane Health Post,846940-5,Health Post,GOVERNMENT,-20.919774,27.307908,North East,North East,+267 2981216,OPERATIONAL
Gumare Clinic,218766-4,Clinic,GOVERNMENT,-19.367249,22.16253,Okavango,Okavango,+267 6874757,OPERATIONAL
Gungwe Health Post,469135-8,Health Post,GOVERNMENT,-20.493991,27.377892,North East,North East,75606172/73150147,OPERATIONAL
Gunutsoga Health Post,908115-9,Health Post,GOVERNMENT,-18.838309,22.578198,Okavango,Okavango,26773019655,OPERATIONAL
Gweta Clinic,199921-8,Clinic,GOVERNMENT,-20.207938,25.257154,Tutume,Tutume,+267 6212233,OPERATIONAL
Gweta Primary Hospital,766569-8,Primary Hospital,GOVERNMENT,-20.208713,25.246666,Tutume,Tutume,+267 6212333,OPERATIONAL
HAMILTON MEDICAL CENTRE ,775506-9,Individual practitioner,PRIVATE,-24.659503,25.919763,Greater Gaborone,Greater Gaborone,75922626,OPERATIONAL
HAVELE HOLDING PHYSIO,266757-4,Private Hospital,PRIVATE,-24.5798419,25.840643,Kweneng East,--,+267 3694471,OPERATIONAL
HEALTH SCOPE MEDICAL,916214-0,Poly Clinic,PRIVATE,-24.5994227,24.7289225,Lobatse,--,+267 71331025,OPERATIONAL
HUKUNTSI PRIVATE CLINIC,448768-2,Individual practitioner,PRIVATE,-23.998261,21.779926,Kgalagadi North,Kgalagadi North,6510101,OPERATIONAL
Habu Health Post,646188-3,Health Post,GOVERNMENT,-19.862511,22.384101,Okavango,Okavango,+267 73019647,OPERATIONAL
Hatsalatladi Health Post,943273-3,Health Post,GOVERNMENT,-24.138363,25.594493,Kweneng East,Kweneng,+267 5931205,OPERATIONAL
Hebron Clinic ,977671-7,Clinic with Maternity,GOVERNMENT,-25.65551,25.40113,Goodhope,Greater Lobatse,+267 5486273,OPERATIONAL
Hereford Clinic ,730690-5,Clinic with Maternity,GOVERNMENT,-25.473435,23.798291,Kgalagadi south,Kgalagadi South,+267 6511109,OPERATIONAL
Highway Medical Centre,559369-4,Day care center,PRIVATE,-21.422303,27.4407048,Greater Francistown,Greater Francistown,75661428/2484545,OPERATIONAL
Hilltop Medical Centre,821498-3,Group practice,PRIVATE,-24.658364,25.915761,Greater Gaborone,Greater Gaborone,77313252,OPERATIONAL
Hopewell Medical Center,383081-7,Individual practitioner,PRIVATE,-22.1815144,27.969637,Bobirwa,Greater Phikwe,26776013208,OPERATIONAL
Hospital Way Medical Centre,788868-8,Individual practitioner,PRIVATE,-24.66,25.91512,South East,Greater Gaborone,76665104,OPERATIONAL
Hukuntsi Clinic,582552-6,Clinic,GOVERNMENT,-23.998548,21.776151,Kgalagadi North,Kgalagadi North,6510181/222,OPERATIONAL
Hukuntsi Primary Hospital,215428-4,Primary Hospital,GOVERNMENT,-23.998179,21.796253,Kgalagadi North,Kgalagadi North,+267 6510030,OPERATIONAL
Hunhukwe Health Post,356085-1,Health Post,GOVERNMENT,-23.410566,21.602215,Kgalagadi North,Kgalagadi North,+267 76875320,OPERATIONAL
INDRA MEDICAL CENTRE,220984-9,Individual practitioner,PRIVATE,-24.8294639,25.8047413,South East,Greater Gaborone,+267 5391931/71666214,OPERATIONAL
Ikoga Health Post,245847-9,Health Post,GOVERNMENT,-18.868505,22.281601,Okavango,Okavango,+267 73019685,OPERATIONAL
Ikongwe Health Post,951847-3,Health Post,GOVERNMENT,-23.138034,26.424342,Mahalapye,Mahalapye,+267 74169336,OPERATIONAL
Inalegolo Health Post,547193-3,Health Post,GOVERNMENT,-23.950759,22.974892,Kgalagadi North,Kgalagadi North,+267 6511624,OPERATIONAL
Independence Surgery,669128-1,Day care center,PRIVATE,-24.65312,25.92118,Greater Gaborone,Greater Gaborone,+267 3953424,OPERATIONAL
Industrial Clinic,785994-5,Clinic,GOVERNMENT,-21.970637,27.818105,Phikwe,Greater Phikwe,+267 2610570,OPERATIONAL
Integral Medical Center,86458-7,Individual practitioner,PRIVATE,-25.228202,25.6684922,Lobatse,Greater Lobatse,5300238,OPERATIONAL
Itekeng (Area W) Clinic ,770793-8,Clinic,GOVERNMENT,-21.173463,27.506522,Greater Francistown,Greater Francistown,2413612/2413043,OPERATIONAL
Itholoke Health Post,138941-0,Health Post,GOVERNMENT,-24.706725,23.63323,Mabutsane,Southern,+267 73207509,OPERATIONAL
JEMIMA MEDICAL CENTRE,700560-6,Individual practitioner,PRIVATE,-21.3352448,25.3493248,Greater Gaborone,--,+267 4924490,OPERATIONAL
JWANENG EYE CARE,201781-2,Individual practitioner,PRIVATE,-24.6061585,24.727929,Jwaneng,--,+267 72383858,OPERATIONAL
Jackalas 1 Health  Post,428747-0,Health Post,GOVERNMENT,-20.5720186,27.6986061,North East,North East,+267 74932311,OPERATIONAL
Jackalas 2 Health Post ,524549-3,Health Post,GOVERNMENT,-20.9545382,27.6745728,North East,North East,+267 2488231,OPERATIONAL
Jobet Medical Center,260292-8,Individual practitioner,PRIVATE,-24.394366,26.143586,Kgatleng,Kgatleng,+267 5777699,OPERATIONAL
Joosub & Aysha Dada Clinic,576287-7,Clinic,GOVERNMENT,-24.956937,25.327086,Kanye,Southern,+267 5441460,OPERATIONAL
Jordan River of life clinic,111181-4,Individual practitioner,PRIVATE,-25.47029,25.59661,Goodhope,Greater Lobatse,26771694413,OPERATIONAL
Joretti Medical Centre,929790-4,Individual practitioner,PRIVATE,-23.1681782,24.5928742,Okavango,Okavango,+267 71819073,OPERATIONAL
Jorreti Medical Centre,779515-6,Individual practitioner,PRIVATE,-19.3716452,22.1622701,Ngami,--,+267 6874886,OPERATIONAL
Joseph Kavindama Hospital,155922-8,Primary Hospital,GOVERNMENT,-18.3892836,21.83666405,Okavango,Okavango,+267 6875028,OPERATIONAL
Jubilee Clinic,814872-8,Clinic with Maternity,GOVERNMENT,-21.157377,27.510261,Greater Francistown,Greater Francistown,+267 2441132,OPERATIONAL
Julia Molefhe Clinic,918103-3,Clinic,GOVERNMENT,-24.6489,25.8672,Greater Gaborone,Greater Gaborone,+267 3909301,OPERATIONAL
Juliana Kalafi Clinic,774086-3,Individual practitioner,PRIVATE,-22.39103,26.70938,Serowe,Serowe/Palapye,71429062,OPERATIONAL
Junction Physiotherapy,167159-3,Individual practitioner,PRIVATE,-22.38754,26.71077,Serowe,Serowe/Palapye,4630766,OPERATIONAL
Jwaneng Medical Centre,777882-2,Individual practitioner,PRIVATE,-24.728477,24.728048,Jwaneng,Southern,5882070,OPERATIONAL
Jwaneng Mine Hospital,753290-6,Private Hospital,PRIVATE,-24.5956902,24.7311362,Jwaneng,Southern,5884706,OPERATIONAL
KAMLOOPS MEDICAL CENTRE,439437-5,Individual practitioner,PRIVATE,-21.95672,26.52378,South East,Greater Gaborone,3112601,OPERATIONAL
KARIBU MEDICAL CENTRE,692352-8,Individual practitioner,PRIVATE,-21.40949,25.57867,Boteti,Boteti,2974540,OPERATIONAL
KARIBU MEDICAL CENTRE,1041689-9,Individual practitioner,PRIVATE,-21.1672276,26.419389,Greater Gaborone,--,+267 2974540,OPERATIONAL
KARONG CLINICS,215882-2,Day care center,PRIVATE,-24.65416,25.9211,Greater Gaborone,Greater Gaborone,3911529,OPERATIONAL
KATLO DENTAL SURGERY,196788-4,Individual practitioner,PRIVATE,-20.490529,27.040145,Tutume,Tutume,+267 2987641,OPERATIONAL
KB MEDICAL CLINIC,535372-7,Individual practitioner,PRIVATE,-24.62808,25.92337963,Greater Gaborone,--,+267 3913823,OPERATIONAL
KGALAGADI PHARMACY,887904-1,Individual practitioner,PRIVATE,-26.0221806,22.399971,Kgalagadi south,Kgalagadi South,+267 6540860,OPERATIONAL
KGALAGADI PHARMACY- GABZ,956740-5,Individual practitioner,PRIVATE,-24.6311008,25.9177144,Greater Gaborone,--,+267 3170950,OPERATIONAL
KORAK PHYSIOTHERAPY,111442-0,Individual practitioner,PRIVATE,-24.64201,25.92074,Greater Gaborone,--,+267 3181758,OPERATIONAL
KT HEALTHCARE PRIVATE MEDICAL CLINIC,239175-3,Individual practitioner,PRIVATE,-24.405574,26.119557,Kgatleng,Kgatleng,+267 5728587 / 73309420,OPERATIONAL
Kacgae Health Post,899084-8,Health Post,GOVERNMENT,-22.855426,22.206943,Ghanzi,Ghanzi,+267 73925245,OPERATIONAL
Kachikau Clinic ,377230-8,Clinic with Maternity,GOVERNMENT,-18.153897,24.50426,Chobe,Chobe,+267 6240186,OPERATIONAL
Kadimo Samson Clinic,415277-3,Clinic,GOVERNMENT,-22.374992,26.710647,Serowe,Serowe/Palapye,2674635889,OPERATIONAL
Kaelo Medical Emerging,436373-5,Individual practitioner,PRIVATE,-24.6851571,25.9740898,Greater Gaborone,--,+267 72848818,OPERATIONAL
Kagiso Clinic,678455-7,Clinic,GOVERNMENT,-21.985697,27.82218,Phikwe,Greater Phikwe,+267 2610570,OPERATIONAL
Kajaja Health Post,239497-1,Health Post,GOVERNMENT,-18.669656,22.089188,Okavango,Okavango,+267 73019676,OPERATIONAL
Kalafhi Medical Center Main Mall,511289-1,Poly Clinic,PRIVATE,-24.65833,25.91817,Greater Gaborone,Greater Gaborone,3164269,OPERATIONAL
Kalafhi Medical Center Village,450114-4,Poly Clinic,PRIVATE,-24.66979804,25.93185684,Greater Gaborone,Greater Gaborone,3115929,OPERATIONAL
Kalafhi Medical Centre Renewal Aesthetics,405952-3,Poly Clinic,PRIVATE,-24.65323671,25.92258624,Greater Gaborone,Greater Gaborone,3906944,OPERATIONAL
Kalakamati Health Post,932660-4,Health Post,GOVERNMENT,-20.596359,27.313001,North East,North East,+267 2489249,OPERATIONAL
Kalfontein Clinic,460350-2,Clinic with Maternity,GOVERNMENT,-22.15372561,20.86650989,Charleshill,Ghanzi,6511080,OPERATIONAL
Kang Clinic,490102-1,Clinic,GOVERNMENT,-23.670673,22.788958,Kgalagadi North,Kgalagadi North,+267 6517239,OPERATIONAL
Kanngwe Health Post,406209-7,Health Post,GOVERNMENT,-25.42198,25.114828,Goodhope,Greater Lobatse,+267 5410822,OPERATIONAL
Kanye Prison Health Post,804526-2,Health Post,GOVERNMENT,-24.974109,25.353078,Kanye,Southern,+267 5442631,PENDING
Karakubis Clinic,481025-5,Clinic,GOVERNMENT,-22.08959757,20.61586926,Charleshill,Ghanzi,6593017,OPERATIONAL
Kareng Clinic,789739-0,Clinic,GOVERNMENT,-20.625598,22.330386,Ngami,Ngami,+267 74928709,OPERATIONAL
Kasane Health Post,833536-6,Health Post,GOVERNMENT,-17.799302,25.153586,Chobe,Chobe,+267 6250347,OPERATIONAL
Kasane Prisons Health Post,503447-5,Clinic,GOVERNMENT,-17.803307,25.149164,Chobe,Chobe,+267 6250255,OPERATIONAL
Katlotla Physiotherapy Clinic,244149-1,Individual practitioner,PRIVATE,-21.695028,21.653052,Ghanzi,Ghanzi,71869158,OPERATIONAL
Kaudwane Health Post,516649-1,Health Post,GOVERNMENT,-23.382891,24.658482,Kweneng West,Kweneng,+267 5960004,OPERATIONAL
Kauxwi Health Post,290937-2,Health Post,GOVERNMENT,-18.277533,21.835531,Okavango,Okavango,26773019705,OPERATIONAL
Kavimba Clinic ,807923-8,Clinic,GOVERNMENT,-18.07549,24.58428,Chobe,Chobe,+267 6240209,OPERATIONAL
Kazungula BDF Health Post,189383-3,Health Post,GOVERNMENT,-17.803302,25.243565,Chobe,Chobe,6240014,OPERATIONAL
Kazungula Health Post,283972-8,Health Post,GOVERNMENT,-17.80326,25.237315,Chobe,Chobe,+267 6250970,OPERATIONAL
Kedia Health  Post,474061-9,Health Post,GOVERNMENT,-21.365512,24.732677,Boteti,Boteti,+267 2975169,OPERATIONAL
Kediretswe Clinic ,332865-5,Clinic,GOVERNMENT,-22.542916,27.101873,Palapye,Serowe/Palapye,+267 4922985,OPERATIONAL
Keng Health Post,911481-0,Health Post,GOVERNMENT,-24.597459,23.757622,Mabutsane,Southern,+267 5889055,OPERATIONAL
Kennet Medical Centre,305566-2,Individual practitioner,PRIVATE,-21.9754085,27.8450687,Phikwe,Greater Phikwe,2672600377,OPERATIONAL
Kgari  Health  Post,496348-4,Health Post,GOVERNMENT,-20.583607,27.609211,North East,North East,+267 2489409,OPERATIONAL
Kgatelopele/Block 8 Clinic,155318-9,Clinic,GOVERNMENT,-24.6063,25.914,Greater Gaborone,Greater Gaborone,+267 3939345,OPERATIONAL
Kgatleng Emergency Medical Services,368151-7,Clinic,GOVERNMENT,-24.38386,26.145412,Kgatleng,Kgatleng,2675749085,OPERATIONAL
Kgatleng Medical Center,303708-2,Individual practitioner,PRIVATE,-24.399249,26.148131,Kgatleng,Kgatleng,+267 72 922 428,OPERATIONAL
Kgato Paediatrics Clinic,955054-2,Individual practitioner,PRIVATE,-24.6526,25.92876,Greater Gaborone,Greater Gaborone,75874261,OPERATIONAL
Kgomodiatshaba Health Post,439627-1,Health Post,GOVERNMENT,-23.66574,26.073277,Kgatleng,Kgatleng,5757008,OPERATIONAL
Kgomokasitwa Health Post,321664-5,Health Post,GOVERNMENT,-25.09235,25.629302,Moshupa,Southern,+267 73229711,OPERATIONAL
Kgope Health Post,722327-4,Health Post,GOVERNMENT,-24.310733,25.912819,Kweneng East,Kweneng,+267 5960250,OPERATIONAL
Kgoro Health Post,628767-6,Health Post,GOVERNMENT,-25.445263,25.483246,Goodhope,Greater Lobatse,+267 5410812,OPERATIONAL
Kgosing Clinic,422403-6,Clinic,GOVERNMENT,-24.408535,25.515755,Kweneng East,Kweneng,+267 5920078,OPERATIONAL
Kgwatlheng Clinic,869718-7,Clinic,GOVERNMENT,-24.976266,25.320887,Kanye,Southern,+267 5440528,OPERATIONAL
Khakhea Clinic,390975-1,Clinic with Maternity,GOVERNMENT,-24.699903,23.506825,Jwaneng,Southern,+267 5889308,OPERATIONAL
Khawa Health Post,358097-4,Health Post,GOVERNMENT,-26.280843,21.367022,Kgalagadi south,Kgalagadi South,+267 6511121,OPERATIONAL
Khekhenye Health Post,326823-2,Health Post,GOVERNMENT,-24.057189,23.374754,Kweneng West,Kweneng,+267 5960278,OPERATIONAL
Khonkhwa Health Post,475203-6,Health Post,GOVERNMENT,-24.562685,23.858693,Mabutsane,Southern,+267 73207492,OPERATIONAL
Khudumelapye Clinic,977674-1,Clinic,GOVERNMENT,-23.915618,24.947971,Kweneng West,Kweneng,+267 5931811,OPERATIONAL
Khuis Health Post,1018376-2,Health Post,GOVERNMENT,-26.656388,21.839379,Kgalagadi south,Kgalagadi South,+267 6511116,OPERATIONAL
Khumaga  Health  Post,556891-0,Health Post,GOVERNMENT,-20.47328,24.513628,Boteti,Boteti,+267 6868401,OPERATIONAL
Khurumela Clinic ,451025-1,Clinic,GOVERNMENT,-22.568969,27.091306,Palapye,Serowe/Palapye,+267 4900522,OPERATIONAL
Khurutshe Health Post,418397-6,Health Post,GOVERNMENT,-23.734505,26.181275,Kgatleng,Kgatleng,-,PERMANENTLY_CLOSED
Khwee Health Post,429230-6,Health Post,GOVERNMENT,-21.947212,25.445748,Boteti,Boteti,+267 2910216,OPERATIONAL
Kiran Medical Centre,633090-6,Individual practitioner,PRIVATE,-24.63687,25.89357,Greater Gaborone,Greater Gaborone,3116517,OPERATIONAL
